Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
10,Video,Toe-off,00:16.202,00:16.370,00:00.169,00:15.307,00:01.308,00:15.422,00:01.300
10,Video,Mid-swing,00:16.370,00:16.553,00:00.182,00:15.307,00:01.308,00:15.422,00:01.300
10,Video,Terminal swing,00:16.553,00:16.722,00:00.169,00:15.307,00:01.308,00:15.422,00:01.300
11,CSV,Heel strike - Loading response,00:16.614,00:16.751,00:00.136,00:16.615,00:01.369,00:16.722,00:01.366
11,CSV,Mid-stance,00:16.751,00:17.025,00:00.273,00:16.615,00:01.369,00:16.722,00:01.366
11,CSV,Terminal stance,00:17.025,00:17.299,00:00.273,00:16.615,00:01.369,00:16.722,00:01.366
11,CSV,Pre-swing,00:17.299,00:17.436,00:00.136,00:16.615,00:01.369,00:16.722,00:01.366
11,CSV,Toe-off,00:17.436,00:17.614,00:00.177,00:16.615,00:01.369,00:16.722,00:01.366
11,CSV,Mid-swing,00:17.614,00:17.806,00:00.191,00:16.615,00:01.369,00:16.722,00:01.366
11,CSV,Terminal swing,00:17.806,00:17.984,00:00.177,00:16.615,00:01.369,00:16.722,00:01.366
11,Video,Heel strike - Loading response,00:16.722,00:16.858,00:00.136,00:16.615,00:01.369,00:16.722,00:01.366
11,Video,Mid-stance,00:16.858,00:17.131,00:00.273,00:16.615,00:01.369,00:16.722,00:01.366
11,Video,Terminal stance,00:17.131,00:17.405,00:00.273,00:16.615,00:01.369,00:16.722,00:01.366
11,Video,Pre-swing,00:17.405,00:17.541,00:00.136,00:16.615,00:01.369,00:16.722,00:01.366
11,Video,Toe-off,00:17.541,00:17.719,00:00.177,00:16.615,00:01.369,00:16.722,00:01.366
11,Video,Mid-swing,00:17.719,00:17.910,00:00.191,00:16.615,00:01.369,00:16.722,00:01.366
11,Video,Terminal swing,00:17.910,00:18.088,00:00.177,00:16.615,00:01.369,00:16.722,00:01.366
14,CSV,Heel strike - Loading response,00:20.753,00:20.900,00:00.147,00:20.753,00:01.476,00:20.986,00:01.433
14,CSV,Mid-stance,00:20.900,00:21.195,00:00.295,00:20.753,00:01.476,00:20.986,00:01.433
14,CSV,Terminal stance,00:21.195,00:21.490,00:00.295,00:20.753,00:01.476,00:20.986,00:01.433
14,CSV,Pre-swing,00:21.490,00:21.638,00:00.147,00:20.753,00:01.476,00:20.986,00:01.433
14,CSV,Toe-off,00:21.638,00:21.830,00:00.191,00:20.753,00:01.476,00:20.986,00:01.433
14,CSV,Mid-swing,00:21.830,00:22.037,00:00.206,00:20.753,00:01.476,00:20.986,00:01.433
14,CSV,Terminal swing,00:22.037,00:22.228,00:00.191,00:20.753,00:01.476,00:20.986,00:01.433
14,Video,Heel strike - Loading response,00:20.986,00:21.129,00:00.143,00:20.753,00:01.476,00:20.986,00:01.433
14,Video,Mid-stance,00:21.129,00:21.415,00:00.286,00:20.753,00:01.476,00:20.986,00:01.433
14,Video,Terminal stance,00:21.415,00:21.702,00:00.286,00:20.753,00:01.476,00:20.986,00:01.433
14,Video,Pre-swing,00:21.702,00:21.845,00:00.143,00:20.753,00:01.476,00:20.986,00:01.433
