PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,PressureSensor 32,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP,Tiempo (mm:ss.mmm)
21,79,26,69,805,1065,950,377,2689,1740,26,22,700,1202,1232,1839,432,1294,180,20,326,32,125,83,142,469,1604,3287,1826,1448,156,1109,818,1717,8101,75,-204,-35,70.73328078817734,297.21391133004926,25375,00:00.784
21,79,26,69,802,1069,947,376,2687,1739,26,22,702,1202,1233,1843,434,1295,182,20,327,32,127,83,141,474,1605,3281,1829,1448,146,1113,799,1739,8073,66,-185,-30,70.75628447596533,297.1431442080378,25380,00:00.800
21,78,26,68,805,1069,944,376,2686,1732,26,22,704,1203,1242,1840,433,1293,182,20,326,32,131,81,139,475,1610,3283,1825,1449,148,1111,847,1748,8116,64,-182,-30,70.76138691883372,297.25161544523246,25380,00:00.815
21,79,26,69,804,1067,942,375,2690,1733,26,22,704,1205,1242,1840,432,1293,193,20,328,32,136,85,140,477,1606,3287,1826,1449,137,1114,817,1746,8101,54,-158,-34,70.79797244094487,297.0853937007874,25400,00:00.830
21,80,26,69,802,1066,954,375,2694,1734,26,22,703,1203,1249,1837,432,1294,176,20,328,32,134,87,138,476,1617,3285,1829,1449,127,1113,817,1746,8101,54,-158,-34,70.79533821560753,297.0545318529018,25398,00:00.846
21,76,26,68,805,1066,953,376,2693,1732,26,22,703,1206,1260,1837,435,1295,180,20,331,32,128,84,135,479,1621,3287,1825,1446,119,1115,819,1742,8080,61,-173,-33,70.79292969057555,296.9976773482403,25402,00:00.861
21,75,25,67,803,1058,944,374,2690,1737,26,22,705,1206,1259,1836,435,1296,177,20,331,32,128,87,138,480,1622,3287,1826,1448,143,1116,819,1734,8108,72,-190,-39,70.79344062327851,297.3540961674668,25414,00:00.876
21,74,25,68,802,1062,950,375,2681,1736,26,22,707,1208,1256,1834,436,1297,188,20,330,31,128,85,139,482,1628,3288,1828,1448,164,1121,810,1746,8100,68,-176,-35,70.83947368421053,297.52643362136683,25460,00:00.892
20,76,26,68,801,1063,950,375,2684,1730,26,22,704,1211,1264,1828,436,1294,173,20,330,32,128,85,133,487,1634,3290,1828,1446,153,1125,851,1732,8063,53,-150,-32,70.82008096847733,297.6185441396117,25442,00:00.907
21,75,25,68,805,1063,948,374,2688,1732,26,22,707,1211,1263,1835,438,1299,171,20,331,32,119,86,142,487,1648,3292,1832,1447,152,1130,827,1712,8112,66,-191,-38,70.84004864843658,297.75477657028523,25489,00:00.923
21,74,26,68,802,1059,955,375,2683,1728,26,22,705,1214,1267,1832,436,1297,175,20,334,32,121,85,150,491,1657,3297,1830,1448,141,1128,827,1712,8112,66,-191,-38,70.91499666653594,297.84215067257537,25499,00:00.938
20,75,26,68,801,1060,960,373,2679,1729,26,22,707,1214,1262,1833,435,1296,178,20,333,34,123,85,156,493,1659,3299,1831,1450,141,1130,819,1731,8103,78,-228,-46,70.95744180578416,297.9436476212869,25518,00:00.953
21,75,26,68,799,1059,959,373,2674,1719,26,22,708,1215,1259,1832,436,1296,174,20,331,34,125,85,158,494,1665,3292,1835,1450,138,1134,839,1732,8093,49,-181,-44,70.99990196847305,298.08148380519174,25502,00:00.969
21,76,26,67,798,1058,952,373,2673,1722,25,22,707,1211,1245,1826,435,1295,174,20,332,34,130,88,160,499,1663,3300,1832,1451,154,1137,850,1702,8113,60,-187,-44,71.03550145063906,298.30196816435347,25506,00:00.984
21,80,26,68,795,1057,956,372,2670,1720,26,22,707,1214,1241,1824,435,1291,182,20,327,34,138,86,154,501,1662,3295,1836,1450,167,1143,840,1722,8072,69,-180,-43,71.04034090909092,298.3622648902821,25520,00:01.000
20,80,25,67,791,1053,939,371,2676,1712,26,22,710,1215,1239,1824,432,1288,179,20,322,34,132,80,148,507,1662,3303,1842,1454,177,1145,840,1722,8072,69,-180,-43,70.96669935281427,298.90243184938225,25495,00:01.015
21,81,26,66,786,1048,935,369,2672,1708,26,22,715,1218,1237,1819,426,1286,173,20,316,34,129,83,159,512,1667,3303,1855,1456,153,1153,837,1737,8073,71,-152,-37,70.99499489675748,299.24277694904606,25474,00:01.030
21,81,25,62,777,1043,937,365,2678,1704,26,22,717,1221,1207,1815,415,1282,170,20,302,33,122,80,164,517,1669,3302,1868,1462,163,1163,847,1728,8082,69,-162,-40,70.9551763456926,300.021212597806,25433,00:01.046
21,79,25,63,769,1034,922,360,2663,1698,26,23,719,1222,1176,1805,396,1272,155,20,294,32,117,74,186,529,1660,3311,1874,1462,197,1182,816,1732,8103,75,-188,-41,70.90256642750138,301.521682567216,25366,00:01.061
21,74,26,58,757,1027,926,354,2682,1694,26,22,727,1229,1147,1802,382,1258,146,20,278,32,109,70,173,544,1675,3323,1896,1468,183,1197,811,1711,8061,73,-168,-42,70.81568348732527,302.482034273079,25326,00:01.076
21,78,25,53,748,1021,931,339,2676,1685,26,22,729,1231,1124,1798,367,1251,146,20,271,32,110,69,192,557,1684,3319,1903,1470,202,1210,836,1724,8095,71,-188,-43,70.88478862109838,303.53779138680363,25310,00:01.092
21,80,26,56,745,1019,917,338,2676,1683,26,22,727,1230,1121,1797,371,1250,142,20,278,32,121,80,189,560,1693,3314,1898,1467,209,1207,836,1724,8095,71,-188,-43,70.96450720916452,303.43266837843174,25315,00:01.107
21,80,26,57,746,1019,922,336,2674,1680,26,22,728,1231,1123,1789,363,1251,146,20,279,32,125,82,200,560,1700,3320,1897,1470,209,1212,839,1745,8092,85,-227,-43,71.02742050027618,303.6231160735422,25346,00:01.123
21,80,25,56,746,1018,924,336,2672,1680,25,22,729,1230,1122,1791,359,1249,141,20,276,32,124,78,202,558,1705,3313,1891,1463,207,1217,824,1715,8121,78,-196,-36,70.98034529077117,303.7434023388116,25312,00:01.138
21,80,26,58,743,1018,915,330,2673,1692,26,22,729,1234,1124,1793,350,1234,142,20,268,31,117,74,202,556,1687,3306,1906,1472,213,1219,849,1741,8109,81,-163,-33,70.80064079743681,304.1111308888098,25281,00:01.153
21,79,26,57,739,1013,894,328,2686,1704,26,22,735,1233,1122,1798,336,1220,119,19,254,31,119,69,205,556,1696,2548,1916,1474,216,1219,810,1734,8089,78,-168,-32,70.11958741830065,300.053431372549,24480,00:01.169
21,76,26,46,732,1009,884,327,2682,1706,27,966,735,1233,1120,1799,321,1213,115,19,245,31,106,65,201,554,1667,2546,1925,1476,220,1215,810,1734,8089,78,-168,-32,68.67695985459143,298.24000316105577,25308,00:01.184
21,75,26,42,729,1003,870,325,2707,1720,26,962,737,1231,1116,1796,305,1194,110,19,234,29,105,65,204,551,1662,2556,1928,1483,226,1214,842,1744,8110,85,-200,-40,68.46401013018875,298.8381939772862,25271,00:01.200
21,78,26,35,725,1002,874,323,2703,1728,26,959,741,1232,1109,1810,298,1191,92,19,229,30,94,60,204,546,1649,2562,1935,1482,225,1212,850,1723,8075,84,-214,-38,68.31482950039651,299.21548374306104,25220,00:01.215
21,78,26,39,720,997,871,321,2705,1720,26,952,738,1233,1108,1808,298,1191,87,19,225,31,87,68,202,546,1630,2562,1940,1487,228,1207,851,1726,8073,79,-216,-39,68.30409995629891,299.2836200389337,25171,00:01.230
