Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
24,CSV,Heel strike - Loading response,00:34.122,00:34.249,00:00.126,00:34.123,00:01.261,00:34.414,00:01.366
24,CSV,Mid-stance,00:34.249,00:34.501,00:00.252,00:34.123,00:01.261,00:34.414,00:01.366
24,CSV,Terminal stance,00:34.501,00:34.753,00:00.252,00:34.123,00:01.261,00:34.414,00:01.366
24,CSV,Pre-swing,00:34.753,00:34.879,00:00.126,00:34.123,00:01.261,00:34.414,00:01.366
24,CSV,Toe-off,00:34.879,00:35.043,00:00.163,00:34.123,00:01.261,00:34.414,00:01.366
24,CSV,Mid-swing,00:35.043,00:35.220,00:00.176,00:34.123,00:01.261,00:34.414,00:01.366
24,CSV,Terminal swing,00:35.220,00:35.384,00:00.163,00:34.123,00:01.261,00:34.414,00:01.366
24,Video,Heel strike - Loading response,00:34.414,00:34.550,00:00.136,00:34.123,00:01.261,00:34.414,00:01.366
24,Video,Mid-stance,00:34.550,00:34.823,00:00.273,00:34.123,00:01.261,00:34.414,00:01.366
24,Video,Terminal stance,00:34.823,00:35.097,00:00.273,00:34.123,00:01.261,00:34.414,00:01.366
24,Video,Pre-swing,00:35.097,00:35.233,00:00.136,00:34.123,00:01.261,00:34.414,00:01.366
24,Video,Toe-off,00:35.233,00:35.411,00:00.177,00:34.123,00:01.261,00:34.414,00:01.366
24,Video,Mid-swing,00:35.411,00:35.602,00:00.191,00:34.123,00:01.261,00:34.414,00:01.366
24,Video,Terminal swing,00:35.602,00:35.780,00:00.177,00:34.123,00:01.261,00:34.414,00:01.366
25,CSV,Heel strike - Loading response,00:35.384,00:35.527,00:00.143,00:35.384,00:01.431,00:35.780,00:01.366
25,CSV,Mid-stance,00:35.527,00:35.813,00:00.286,00:35.384,00:01.431,00:35.780,00:01.366
25,CSV,Terminal stance,00:35.813,00:36.099,00:00.286,00:35.384,00:01.431,00:35.780,00:01.366
25,CSV,Pre-swing,00:36.099,00:36.242,00:00.143,00:35.384,00:01.431,00:35.780,00:01.366
25,CSV,Toe-off,00:36.242,00:36.428,00:00.186,00:35.384,00:01.431,00:35.780,00:01.366
