Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
10,Video,Mid-swing,00:16.180859,00:16.324821,00:00.143962,00:15.546875,00:01.328125,00:15.430200,00:01.028300
10,Video,Terminal swing,00:16.324821,00:16.458500,00:00.133679,00:15.546875,00:01.328125,00:15.430200,00:01.028300
11,CSV,Heel strike - Loading response,00:16.875000,00:17.012499,00:00.137500,00:16.875000,00:01.375000,00:16.458500,00:01.639900
11,CSV,Mid-stance,00:17.012499,00:17.287500,00:00.275000,00:16.875000,00:01.375000,00:16.458500,00:01.639900
11,CSV,Terminal stance,00:17.287500,00:17.562500,00:00.275000,00:16.875000,00:01.375000,00:16.458500,00:01.639900
11,CSV,Pre-swing,00:17.562500,00:17.699999,00:00.137500,00:16.875000,00:01.375000,00:16.458500,00:01.639900
11,CSV,Toe-off,00:17.699999,00:17.878750,00:00.178750,00:16.875000,00:01.375000,00:16.458500,00:01.639900
11,CSV,Mid-swing,00:17.878750,00:18.071249,00:00.192500,00:16.875000,00:01.375000,00:16.458500,00:01.639900
11,CSV,Terminal swing,00:18.071249,00:18.250000,00:00.178750,00:16.875000,00:01.375000,00:16.458500,00:01.639900
11,Video,Heel strike - Loading response,00:16.458500,00:16.622489,00:00.163990,00:16.875000,00:01.375000,00:16.458500,00:01.639900
11,Video,Mid-stance,00:16.622489,00:16.950469,00:00.327980,00:16.875000,00:01.375000,00:16.458500,00:01.639900
11,Video,Terminal stance,00:16.950469,00:17.278449,00:00.327980,00:16.875000,00:01.375000,00:16.458500,00:01.639900
11,Video,Pre-swing,00:17.278449,00:17.442440,00:00.163990,00:16.875000,00:01.375000,00:16.458500,00:01.639900
11,Video,Toe-off,00:17.442440,00:17.655626,00:00.213187,00:16.875000,00:01.375000,00:16.458500,00:01.639900
11,Video,Mid-swing,00:17.655626,00:17.885213,00:00.229586,00:16.875000,00:01.375000,00:16.458500,00:01.639900
11,Video,Terminal swing,00:17.885213,00:18.098400,00:00.213187,00:16.875000,00:01.375000,00:16.458500,00:01.639900
14,CSV,Heel strike - Loading response,00:21.140625,00:21.284375,00:00.143750,00:21.140625,00:01.437500,00:21.011500,00:01.419300
14,CSV,Mid-stance,00:21.284375,00:21.571874,00:00.287500,00:21.140625,00:01.437500,00:21.011500,00:01.419300
14,CSV,Terminal stance,00:21.571874,00:21.859375,00:00.287500,00:21.140625,00:01.437500,00:21.011500,00:01.419300
14,CSV,Pre-swing,00:21.859375,00:22.003125,00:00.143750,00:21.140625,00:01.437500,00:21.011500,00:01.419300
