Zancada,Inicio_zancada_CSV,Fin_zancada_CSV,Duración_zancada_CSV,observacion,tiempo_incio_envideo,tiempo_fin_envideo,Duración_zancada_video,Diferencia_duración,Diferencia_porcentaje,Z_score_diferencia
41,00:48.375000,00:49.484375,00:01.109375,ninguna,00:48.336400,00:49.434200,00:01.097800,-00:00.011575,-1.04%,-0.23617605181877804
44,00:51.953125,00:53.046875,00:01.093750,ninguna,00:51.809500,00:53.001200,00:01.191700,00:00.097950,8.96%,1.5031788145685934
45,00:53.046875,00:54.171875,00:01.125000,ninguna,00:53.001200,00:54.117100,00:01.115900,-00:00.009099,-0.81%,-0.196870840275215
46,00:54.171875,00:55.218750,00:01.046875,ninguna,00:54.117100,00:55.172900,00:01.055800,00:00.008925,0.85%,0.08938226601679479
47,00:55.218750,00:56.375000,00:01.156250,ninguna,00:55.172900,00:56.297300,00:01.124400,-00:00.031850,-2.75%,-0.5581611686049361
50,00:58.890625,01:00.000000,00:01.109375,ninguna,00:58.843400,00:59.965000,00:01.121600,00:00.012225,1.10%,0.14178921474154552
51,01:00.000000,01:01.125000,00:01.125000,ninguna,00:59.965000,01:01.077100,00:01.112100,-00:00.012900,-1.15%,-0.2572182357764431
52,01:01.125000,01:02.218750,00:01.093750,ninguna,01:01.077100,01:02.181600,00:01.104500,00:00.010750,0.98%,0.11836489675093723
55,01:04.781250,01:05.906250,00:01.125000,ninguna,01:04.641400,01:05.875500,00:01.234100,00:00.109100,9.70%,1.6802507776840392
56,01:05.906250,01:07.031250,00:01.125000,ninguna,01:05.875500,01:06.974900,00:01.099400,-00:00.025599,-2.28%,-0.4589055838989688
57,01:07.031250,01:08.156250,00:01.125000,ninguna,01:06.974900,01:08.097700,00:01.122800,-00:00.002199,-0.20%,-0.08729267475982706
58,01:08.156250,01:09.312500,00:01.156250,ninguna,01:08.097700,01:09.277600,00:01.179900,00:00.023650,2.05%,0.3232284235840538
