Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
8,Video,Heel strike - Loading response,00:10.432,00:10.556,00:00.123,00:10.384,00:01.231,00:10.433,00:01.233
8,Video,Mid-stance,00:10.556,00:10.802,00:00.246,00:10.384,00:01.231,00:10.433,00:01.233
8,Video,Terminal stance,00:10.802,00:11.049,00:00.246,00:10.384,00:01.231,00:10.433,00:01.233
8,Video,Pre-swing,00:11.049,00:11.172,00:00.123,00:10.384,00:01.231,00:10.433,00:01.233
8,Video,Toe-off,00:11.172,00:11.333,00:00.160,00:10.384,00:01.231,00:10.433,00:01.233
8,Video,Mid-swing,00:11.333,00:11.505,00:00.172,00:10.384,00:01.231,00:10.433,00:01.233
8,Video,Terminal swing,00:11.505,00:11.666,00:00.160,00:10.384,00:01.231,00:10.433,00:01.233
10,CSV,Heel strike - Loading response,00:14.323,00:14.438,00:00.115,00:14.323,00:01.153,00:14.431,00:01.166
10,CSV,Mid-stance,00:14.438,00:14.668,00:00.230,00:14.323,00:01.153,00:14.431,00:01.166
10,CSV,Terminal stance,00:14.668,00:14.899,00:00.230,00:14.323,00:01.153,00:14.431,00:01.166
10,CSV,Pre-swing,00:14.899,00:15.014,00:00.115,00:14.323,00:01.153,00:14.431,00:01.166
10,CSV,Toe-off,00:15.014,00:15.164,00:00.149,00:14.323,00:01.153,00:14.431,00:01.166
10,CSV,Mid-swing,00:15.164,00:15.326,00:00.161,00:14.323,00:01.153,00:14.431,00:01.166
10,CSV,Terminal swing,00:15.326,00:15.475,00:00.149,00:14.323,00:01.153,00:14.431,00:01.166
10,Video,Heel strike - Loading response,00:14.430,00:14.547,00:00.116,00:14.323,00:01.153,00:14.431,00:01.166
10,Video,Mid-stance,00:14.547,00:14.780,00:00.233,00:14.323,00:01.153,00:14.431,00:01.166
10,Video,Terminal stance,00:14.780,00:15.013,00:00.233,00:14.323,00:01.153,00:14.431,00:01.166
10,Video,Pre-swing,00:15.013,00:15.130,00:00.116,00:14.323,00:01.153,00:14.431,00:01.166
